specialCoatId;name;color;languageCode
1;Akhal-tekkiner;sort;da
2;Akhal-tekkiner;hvid;da
17;Dåhjort;plettet;da
18;Dåhjort;sort;da
19;Dåhjort;hvid;da
36;Storpanda;brun;da
37;Hare;plettet;da
38;Hare;lyserød;da
39;Hare;sort-hvid;da
40;Hare;tigerstribet;da
41;Hare;hvid;da
42;Tamgris;brun;da
43;Tamged;hvid;da
46;Jaguarundi;rød;da
63;Næsebjørn;hvidsnudet;da
72;Hest;æbleskimmel;da
73;Hest;pinto;da
80;Junglekat;sort;da
87;Får;brun;da
88;Får;skjoldet;da
92;Svane;sort;da
103;Tapir;hvid;da
15;Capybara;sort;da
23;Emu;leucistisk;da
25;Stinkdyr;Humboldts;da
27;Flamingo;sort;da
28;Flamingo;hvid;da
66;Oryxantilope;arabisk;da
67;Oryxantilope;beige;da
70;Påfugl;plettet;da
71;Påfugl;hvid;da
77;Rensdyr;plettet;da
78;Rensdyr;hvid;da
83;Rød kæmpekænguru;hvid;da
100;Steppezebra;sort;da
101;Steppezebra;hvid;da
10;Australsk spøgelsesflagermus;sort;da
22;Elg;hvid;da
24;Europæisk vildkat;lys;da
30;Stortoppet kakadu;hvid;da
32;Genette;brun;da
35;Goodfellows trækænguru;sort;da
45;Smukansigtet wallaby;sort;da
102;Indisk stjerneskildpadde;grøn;da
48;Kiwi;plettet;da
50;Koala;brun;da
55;Cuscus;brun;da
56;Cuscus;gul;da
82;Rød vari;sort-hvid;da
84;Rødræv;plettet;da
85;Rødræv;sølv;da
109;Vildsvin;hvid;da
7;Alpaka;plettet;da
8;Alpaka;sort;da
9;Alpaka;hvid;da
12;Lammegrib;rød;da
31;Hulepindsvin;hvid;da
44;Hermelin;hvid;da
51;Kodiakbjørn;blond;da
52;Kodiakbjørn;sort;da
108;Hvidhovedet havørn;hvid;da
3;Afrikansk elefant;leucistisk;da
4;Afrikansk vildhund;brun;da
5;Afrikansk vildhund;sort;da
6;Afrikansk vildhund;hvid;da
29;Flodhest;lyserød;da
58;Løve;hvid;da
64;Netgiraf;sort;da
13;Bjerggorilla;hvid;da
49;Colobusabe;sort;da
53;Bengalsk tiger;hvid;da
57;Løvetamarin;guld;da
61;Mandrill;hvid;da
65;Nilkrokodille;hvid;da
69;Panter;jaguarmønstret;da
79;Toko tukan;hvid;da
104;Plettet cuscus;plettet;da
105;Plettet cuscus;sort;da
106;Plettet cuscus;hvid;da
107;Hvidhåndet gibbon;sort;da
62;Myskhjort;guld;da
74;Polarræv;brun;da
75;Polarræv;sort;da
76;Polarulv;sort;da
91;Sneehare;brun;da
110;Zobel;rød;da
111;Zobel;hvid;da
14;Pukkelhval;hvid;da
59;Mandarinand;hvid;da
86;Manat;manat;da
26;Ildsalamander;rød;da
33;Gylden træfrø;brun;da
97;Solgrævling;brun;da
98;Solgrævling;lysebrun;da
112;Dværgmyresluger;hvid;da
99;Savannevaran;lys;da
11;Axolotl;hvid;da
20;Diskosfisk;gul;da
34;Guldfisk;hvid;da
81;Rød piranha;blå-orange;da
89;Sydamerikansk sommerfuglebuntbarsch;blå;da
90;Sydamerikansk sommerfuglebuntbarsch;rød;da
47;Siamesisk kampfisk;Halfmoon Butterfly;da
16;Klovnefisk;sort;da
21;Dumbo-blæksprutte;hvid;da
54;Kompasvandmand;prikket;da
60;Mandarinfisk;brun;da
