specialCoatId;name;color;languageCode
1;Akhal-Teke;black;en
2;Akhal-Teke;white;en
17;Fallow deer;spotted;en
18;Fallow deer;black;en
19;Fallow deer;white;en
36;Giant panda;brown;en
37;Hare;spotted;en
38;Hare;pink;en
39;Hare;black and white;en
40;Hare;tiger-striped;en
41;Hare;white;en
42;Domestic pig;brown;en
43;Domestic goat;white;en
46;Jaguarundi;red;en
63;Coati;white-snouted;en
72;Horse;dapple grey;en
73;Horse;pinto;en
80;Jungle cat;black;en
87;Sheep;brown;en
88;Sheep;piebald;en
92;Swan;black;en
103;Tapir;white;en
15;Capybara;black;en
23;Emu;leucistic;en
25;Hog-nosed skunk;Humboldt's;en
27;Flamingo;black;en
28;Flamingo;white;en
66;Oryx antelope;Arabian;en
67;Oryx antelope;beige;en
70;Peafowl;spotted;en
71;Peafowl;white;en
77;Reindeer;spotted;en
78;Reindeer;white;en
83;Red kangaroo;white;en
100;Plains zebra;black;en
101;Plains zebra;white;en
10;Australian ghost bat;black;en
22;Moose;white;en
24;European wildcat;light;en
30;Sulphur-crested cockatoo;white;en
32;Genet;brown;en
35;Goodfellow's tree kangaroo;black;en
45;Pretty-faced wallaby;black;en
102;Indian star tortoise;green;en
48;Kiwi;spotted;en
50;Koala;brown;en
55;Cuscus;brown;en
56;Cuscus;yellow;en
82;Red ruffed lemur;black and white;en
84;Red fox;spotted;en
85;Red fox;silver;en
109;Wild boar;white;en
7;Alpaca;spotted;en
8;Alpaca;black;en
9;Alpaca;white;en
12;Bearded vulture;red;en
31;Common porcupine;white;en
44;Stoat;white;en
51;Kodiak bear;blonde;en
52;Kodiak bear;black;en
108;Bald eagle;white;en
3;African elephant;leucistic;en
4;African wild dog;brown;en
5;African wild dog;black;en
6;African wild dog;white;en
29;Hippopotamus;pink;en
58;Lion;white;en
64;Reticulated giraffe;black;en
13;Mountain gorilla;white;en
49;Colobus monkey;black;en
53;Bengal tiger;white;en
57;Lion tamarin;gold;en
61;Mandrill;white;en
65;Nile crocodile;white;en
69;Panther;jaguar-patterned;en
79;Toco toucan;white;en
104;Spotted cuscus;spotted;en
105;Spotted cuscus;black;en
106;Spotted cuscus;white;en
107;White-handed gibbon;black;en
62;Musk deer;gold;en
74;Arctic fox;brown;en
75;Arctic fox;black;en
76;Arctic wolf;black;en
91;Mountain hare;brown;en
110;Sable;red;en
111;Sable;white;en
14;Humpback whale;white;en
59;Mandarin duck;white;en
86;Manatee;manatee;en
26;Fire salamander;red;en
33;Golden tree frog;brown;en
97;Sun badger;brown;en
98;Sun badger;light brown;en
112;Silky anteater;white;en
99;Savannah monitor;light;en
11;Axolotl;white;en
20;Discus fish;yellow;en
34;Goldfish;white;en
81;Red-bellied piranha;blue-orange;en
89;South American butterfly cichlid;blue;en
90;South American butterfly cichlid;red;en
47;Siamese fighting fish;Halfmoon Butterfly;en
16;Clownfish;black;en
21;Dumbo octopus;white;en
54;Compass jellyfish;dotted;en
60;Mandarin fish;brown;en
