specialCoatId;name;color;languageCode
1;Akhal-Teke;zwart;nl
2;Akhal-Teke;wit;nl
17;Damhert;gevlekt;nl
18;Damhert;zwart;nl
19;Damhert;wit;nl
36;Grote panda;bruin;nl
37;Haas;gevlekt;nl
38;Haas;roze;nl
39;Haas;zwart-wit;nl
40;Haas;tijgergestreept;nl
41;Haas;wit;nl
42;Huisvarken;bruin;nl
43;Huisgeit;wit;nl
46;Jaguarundi;rood;nl
63;Neusbeer;witsnuit;nl
72;Paard;appelschimmel;nl
73;Paard;pinto;nl
80;Jungelkat;zwart;nl
87;Schaap;bruin;nl
88;Schaap;bont;nl
92;Zwaan;zwart;nl
103;Tapir;wit;nl
15;Capibara;zwart;nl
23;Emoe;leucistisch;nl
25;Varkensneusskunk;Humboldt;nl
27;Flamingo;zwart;nl
28;Flamingo;wit;nl
66;Oryxantilope;Arabisch;nl
67;Oryxantilope;beige;nl
70;Pauw;gevlekt;nl
71;Pauw;wit;nl
77;Rendier;gevlekt;nl
78;Rendier;wit;nl
83;Rode kangoeroe;wit;nl
100;Steppezebra;zwart;nl
101;Steppezebra;wit;nl
10;Australische spookvleermuis;zwart;nl
22;Eland;wit;nl
24;Europese wilde kat;licht;nl
30;Grote geelkuifkaketoe;wit;nl
32;Genetkat;bruin;nl
35;Goodfellow's boomkangoeroe;zwart;nl
45;Mooigezichtwallaby;zwart;nl
102;Indiase sterschildpad;groen;nl
48;Kiwi;gevlekt;nl
50;Koala;bruin;nl
55;Cuscus;bruin;nl
56;Cuscus;geel;nl
82;Rode vari;zwart-wit;nl
84;Rode vos;gevlekt;nl
85;Rode vos;zilver;nl
109;Wild zwijn;wit;nl
7;Alpaca;gevlekt;nl
8;Alpaca;zwart;nl
9;Alpaca;wit;nl
12;Lammergier;rood;nl
31;Gewoon stekelvarken;wit;nl
44;Hermelijn;wit;nl
51;Kodiakbeer;blond;nl
52;Kodiakbeer;zwart;nl
108;Witkopzeearend;wit;nl
3;Afrikaanse olifant;leucistisch;nl
4;Afrikaanse wilde hond;bruin;nl
5;Afrikaanse wilde hond;zwart;nl
6;Afrikaanse wilde hond;wit;nl
29;Nijlpaard;roze;nl
58;Leeuw;wit;nl
64;Netgiraffe;zwart;nl
13;Berggorilla;wit;nl
49;Colobusaap;zwart;nl
53;Bengaalse tijger;wit;nl
57;Leeuwaapje;goud;nl
61;Mandrill;wit;nl
65;Nijlkrokodil;wit;nl
69;Panter;jaguarpatroon;nl
79;Tocotoekan;wit;nl
104;Gevlekte cuscus;gevlekt;nl
105;Gevlekte cuscus;zwart;nl
106;Gevlekte cuscus;wit;nl
107;Withandgibbon;zwart;nl
62;Muskushert;goud;nl
74;Polarvos;bruin;nl
75;Polarvos;zwart;nl
76;Polarwolf;zwart;nl
91;Sneehaas;bruin;nl
110;Sabelmarter;rood;nl
111;Sabelmarter;wit;nl
14;Bultrugwalvis;wit;nl
59;Mandarijneend;wit;nl
86;Lamantijn;lamantijn;nl
26;Vuursalamander;rood;nl
33;Gouden boomkikker;bruin;nl
97;Zonnedas;bruin;nl
98;Zonnedas;lichtbruin;nl
112;Dwergmiereneter;wit;nl
99;Savanne-varaan;licht;nl
11;Axolotl;wit;nl
20;Discusvis;geel;nl
34;Goudvis;wit;nl
81;Roodbuikpiranha;blauw-oranje;nl
89;Zuid-Amerikaanse vlindercichlide;blauw;nl
90;Zuid-Amerikaanse vlindercichlide;rood;nl
47;Siamese vechtvis;Halfmoon Butterfly;nl
16;Clownvis;zwart;nl
21;Dumbo-octopus;wit;nl
54;Kompaskwal;gestippeld;nl
60;Mandarijnvis;bruin;nl
